"SKU","Price","Date"
2,54.75,"2009-07-12"
2,50.46,"2010-01-17"
3,115.98,"2009-07-12"
2,50.46,"2010-01-17"
2,50.48,"2010-01-17"
1,139.3,"2009-07-11"
1,154.1,"2009-07-12"
3,109.58,"2009-07-12"
2,57.96,"2009-07-12"
2,54.74,"2009-07-12"
2,55.5,"2009-07-12"
2,55.59,"2009-07-12"
1,116.43,"2009-07-12"
2,54.74,"2009-07-12"
2,54.74,"2009-07-12"
3,109.71,"2010-01-17"
2,50.46,"2010-01-17"
2,54.99,"2009-07-12"
2,50.48,"2010-01-17"
3,109.58,"2009-07-12"
3,84.37,"2010-01-18"
1,139.3,"2009-07-12"
2,50.46,"2010-01-18"
2,50.46,"2010-01-18"
2,54.99,"2009-07-13"
3,109.71,"2010-01-18"
2,50.46,"2010-01-18"
3,115.98,"2009-07-13"
1,154.1,"2009-07-13"
3,109.58,"2009-07-13"
2,57.96,"2009-07-13"
2,54.74,"2009-07-13"
3,109.58,"2009-07-13"
2,54.75,"2009-07-13"
2,55.5,"2009-07-13"
2,55.59,"2009-07-13"
1,116.43,"2009-07-13"
2,54.74,"2009-07-13"
2,54.74,"2009-07-13"
1,139.3,"2009-07-13"
2,50.48,"2010-01-18"
3,84.37,"2010-01-19"
1,158.56,"2010-01-19"
2,49.05,"2010-01-19"
2,49.05,"2010-01-19"
3,109.71,"2010-01-19"
2,50.48,"2010-01-18"
2,50.5,"2010-01-18"
1,148.32,"2010-01-19"
1,149.06,"2010-01-19"
2,54.99,"2009-07-14"
2,49.05,"2010-01-19"
1,148.32,"2010-01-19"
2,49.85,"2010-01-19"
3,115.98,"2009-07-14"
1,154.1,"2009-07-14"
3,109.58,"2009-07-14"
2,55.59,"2009-07-14"
1,116.43,"2009-07-14"
2,57.96,"2009-07-14"
3,109.58,"2009-07-14"
1,139.3,"2009-07-14"
2,54.74,"2009-07-14"
2,54.74,"2009-07-14"
2,58,"2009-07-14"
2,55.5,"2009-07-14"
2,45.97,"2010-01-20"
1,153.8,"2010-01-20"
3,109.94,"2010-01-20"
2,45.96,"2010-01-20"
3,115.98,"2009-07-15"
1,148.32,"2010-01-20"
2,54.75,"2009-07-14"
2,54.99,"2009-07-15"
1,154.1,"2009-07-15"
3,109.58,"2009-07-15"
2,57.96,"2009-07-15"
2,54.74,"2009-07-15"
3,109.58,"2009-07-15"
2,55.59,"2009-07-15"
1,116.43,"2009-07-15"
2,54.74,"2009-07-15"
2,54.74,"2009-07-15"
2,55.5,"2009-07-15"
1,148.32,"2010-01-20"
1,177.64,"2010-01-21"
2,45.16,"2010-01-21"
2,44.74,"2010-01-21"
2,45.5,"2010-01-21"
2,46.39,"2010-01-21"
1,148.32,"2010-01-21"
1,139.3,"2009-07-15"
2,54.99,"2009-07-16"
3,109.94,"2010-01-21"
3,115.98,"2009-07-16"
2,55.59,"2009-07-16"
1,116.43,"2009-07-16"
1,154.1,"2009-07-16"
3,109.58,"2009-07-16"
2,57.96,"2009-07-16"
2,54.74,"2009-07-16"
3,109.58,"2009-07-16"
1,139.3,"2009-07-16"
2,54.74,"2009-07-16"
2,54.74,"2009-07-16"
2,46.38,"2010-01-21"
1,148.32,"2010-01-22"
1,177.64,"2010-01-22"
1,177.6,"2010-01-22"
1,198.18,"2010-01-22"
1,198.18,"2010-01-22"
2,45.5,"2010-01-22"
1,177.64,"2010-01-22"
3,109.71,"2010-01-22"
2,53.47,"2010-01-22"
1,148.32,"2010-01-22"
2,49.85,"2010-01-22"
2,55.5,"2009-07-16"
1,154.1,"2009-07-17"
3,109.58,"2009-07-17"
2,57.96,"2009-07-17"
2,55.5,"2009-07-17"
2,54.74,"2009-07-17"
3,109.58,"2009-07-17"
1,139.3,"2009-07-17"
2,54.99,"2009-07-17"
3,115.98,"2009-07-17"
2,55.59,"2009-07-17"
1,116.43,"2009-07-17"
2,54.74,"2009-07-17"
2,54.74,"2009-07-17"
2,58,"2009-07-17"
2,54.6,"2010-01-23"
1,169.96,"2010-01-23"
2,45.5,"2010-01-23"
1,177.64,"2010-01-23"
3,84.37,"2010-01-23"
1,148.32,"2010-01-23"
2,49.85,"2010-01-23"
3,109.71,"2010-01-23"
2,47.37,"2010-01-23"
2,54.99,"2009-07-18"
1,154.1,"2009-07-18"
3,109.58,"2009-07-18"
2,57.96,"2009-07-18"
2,54.74,"2009-07-18"
3,109.58,"2009-07-18"
3,115.98,"2009-07-18"
2,55.59,"2009-07-18"
1,116.43,"2009-07-18"
2,54.74,"2009-07-18"
2,54.74,"2009-07-18"
